model,fold,fold_size,feature,importance
K-Nearest Neighbors,8,37,Basfia,0.0
K-Nearest Neighbors,8,37,Peptoniphilus,0.0
K-Nearest Neighbors,8,37,Cellulomonas,0.0
K-Nearest Neighbors,8,37,Scardovia,0.0
K-Nearest Neighbors,8,37,Stenotrophobacter,0.0
K-Nearest Neighbors,8,37,Prevotella,0.05405405405405406
K-Nearest Neighbors,8,37,Leptotrichia,0.0
K-Nearest Neighbors,8,37,Bergeriella,0.0
K-Nearest Neighbors,8,37,Aureimonas,0.0
K-Nearest Neighbors,8,37,Marseilla,0.0
K-Nearest Neighbors,8,37,Fimbriiglobus,0.0
K-Nearest Neighbors,8,37,Roseomonas,0.0
K-Nearest Neighbors,8,37,Aliarcobacter,0.0
K-Nearest Neighbors,8,37,Craurococcus,0.0
K-Nearest Neighbors,8,37,Capnocytophaga,0.0
K-Nearest Neighbors,8,37,Anaerosinus,0.0
K-Nearest Neighbors,8,37,Parvimonas,0.0
K-Nearest Neighbors,8,37,Howardella,0.0
K-Nearest Neighbors,8,37,Fudania,0.0
K-Nearest Neighbors,8,37,Peptoanaerobacter,0.0
K-Nearest Neighbors,8,37,Rhizobium,0.0
K-Nearest Neighbors,8,37,Mannheimia,0.0
K-Nearest Neighbors,8,37,Cryptobacterium,0.0
K-Nearest Neighbors,8,37,Dolosigranulum,0.0
K-Nearest Neighbors,8,37,Pseudescherichia,0.0
K-Nearest Neighbors,9,44,mediumBAL,0.0
K-Nearest Neighbors,9,44,mediumNPS,0.0
K-Nearest Neighbors,9,44,mediumSputum,0.0
K-Nearest Neighbors,9,44,mediumTS,0.0
K-Nearest Neighbors,9,44,adult_pediatric,0.0
K-Nearest Neighbors,9,44,continent,0.0
K-Nearest Neighbors,9,44,sex,-0.06818181818181816
K-Nearest Neighbors,9,44,Veillonella,-0.05454545454545452
K-Nearest Neighbors,9,44,Alloprevotella,0.0
K-Nearest Neighbors,9,44,Dietzia,0.0
K-Nearest Neighbors,9,44,Varibaculum,0.0
K-Nearest Neighbors,9,44,Fannyhessea,0.0
K-Nearest Neighbors,9,44,Selenomonas,0.0
K-Nearest Neighbors,9,44,Granulicatella,0.0
K-Nearest Neighbors,9,44,Lawsonella,0.0
K-Nearest Neighbors,9,44,Olsenella,0.0
K-Nearest Neighbors,9,44,Stomatobaculum,0.0
K-Nearest Neighbors,9,44,Janibacter,0.0
K-Nearest Neighbors,9,44,Haemophilus,-0.013636363636363624
K-Nearest Neighbors,9,44,Actinobacillus,0.0
K-Nearest Neighbors,9,44,Acinetobacter,0.0
K-Nearest Neighbors,9,44,Mogibacterium,0.0
K-Nearest Neighbors,9,44,Abiotrophia,0.0
K-Nearest Neighbors,9,44,Murdochiella,0.0
K-Nearest Neighbors,9,44,Bifidobacterium,0.0
K-Nearest Neighbors,9,44,Neisseria,0.004545454545454552
K-Nearest Neighbors,9,44,Klebsiella,0.0
K-Nearest Neighbors,9,44,Helicobacter,0.0
K-Nearest Neighbors,9,44,Cutibacterium,0.0
K-Nearest Neighbors,9,44,Solobacterium,0.0
K-Nearest Neighbors,9,44,Gemella,0.0
K-Nearest Neighbors,9,44,Peptostreptococcus,0.0
K-Nearest Neighbors,9,44,Amniculibacterium,0.0
K-Nearest Neighbors,9,44,Lautropia,0.0
K-Nearest Neighbors,9,44,Schaalia,0.0
K-Nearest Neighbors,9,44,Aminipila,0.0
K-Nearest Neighbors,9,44,Clostridium_sensu_stricto,0.0
K-Nearest Neighbors,9,44,Prevotellamassilia,0.0
K-Nearest Neighbors,9,44,Deinococcus,0.0
K-Nearest Neighbors,9,44,Filifactor,0.0
K-Nearest Neighbors,9,44,Johnsonella,0.0
K-Nearest Neighbors,9,44,Moraxella,0.0
K-Nearest Neighbors,9,44,Fretibacterium,0.0
K-Nearest Neighbors,9,44,Brachybacterium,0.0
K-Nearest Neighbors,9,44,Pseudomonas,0.009090909090909104
K-Nearest Neighbors,9,44,Rothia,-0.009090909090909061
K-Nearest Neighbors,9,44,Blautia,0.0
K-Nearest Neighbors,9,44,Eubacterium,0.0
K-Nearest Neighbors,9,44,Sphingobium,0.0
K-Nearest Neighbors,9,44,Corynebacterium,0.0
K-Nearest Neighbors,9,44,Kingella,0.0
K-Nearest Neighbors,9,44,Micrococcus,0.0
K-Nearest Neighbors,9,44,Enterocloster,0.0
K-Nearest Neighbors,9,44,Megasphaera,0.0
K-Nearest Neighbors,9,44,Methylobacterium,0.0
K-Nearest Neighbors,9,44,Bradyrhizobium,0.0
K-Nearest Neighbors,9,44,Sphingomonas,0.0
K-Nearest Neighbors,9,44,Brevundimonas,0.0
K-Nearest Neighbors,9,44,Microbacterium,0.0
K-Nearest Neighbors,9,44,Catonella,0.0
K-Nearest Neighbors,9,44,Thermus,0.0
K-Nearest Neighbors,9,44,Alloscardovia,0.0
K-Nearest Neighbors,9,44,Agathobacter,0.0
K-Nearest Neighbors,9,44,Streptococcus,-0.018181818181818153
K-Nearest Neighbors,9,44,Faecalibacterium,0.0
K-Nearest Neighbors,9,44,Curtobacterium,0.0
K-Nearest Neighbors,9,44,Coprococcus,0.0
K-Nearest Neighbors,9,44,Allisonella,0.0
K-Nearest Neighbors,9,44,Actinomyces,0.0
K-Nearest Neighbors,9,44,Eikenella,0.0
K-Nearest Neighbors,9,44,Arachnia,0.0
K-Nearest Neighbors,9,44,Lachnoanaerobaculum,0.0
K-Nearest Neighbors,9,44,Mesorhizobium,0.0
K-Nearest Neighbors,9,44,Tannerella,0.0
K-Nearest Neighbors,9,44,Herbiconiux,0.0
K-Nearest Neighbors,9,44,Lancefieldella,0.0
K-Nearest Neighbors,9,44,Butyrivibrio,0.0
K-Nearest Neighbors,9,44,Streptobacillus,0.0
K-Nearest Neighbors,9,44,Oribacterium,0.0
K-Nearest Neighbors,9,44,Luteovulum,0.0
K-Nearest Neighbors,9,44,Staphylococcus,-0.05454545454545451
K-Nearest Neighbors,9,44,Gardnerella,0.0
K-Nearest Neighbors,9,44,Wolinella,0.0
K-Nearest Neighbors,9,44,Centipeda,0.0
K-Nearest Neighbors,9,44,Cardiobacterium,0.0
K-Nearest Neighbors,9,44,Fenollaria,0.0
K-Nearest Neighbors,9,44,Porphyromonas,0.0
K-Nearest Neighbors,9,44,Metamycoplasma,0.0
K-Nearest Neighbors,9,44,Stenotrophomonas,0.0
K-Nearest Neighbors,9,44,Slackia,0.0
K-Nearest Neighbors,9,44,Pseudonocardia,0.0
K-Nearest Neighbors,9,44,Massiliprevotella,0.0
K-Nearest Neighbors,9,44,Campylobacter,0.0
K-Nearest Neighbors,9,44,Azorhizophilus,0.0
K-Nearest Neighbors,9,44,Peptococcus,0.0
K-Nearest Neighbors,9,44,Kocuria,0.0
K-Nearest Neighbors,9,44,Shuttleworthia,0.0
K-Nearest Neighbors,9,44,Agrobacterium,0.0
K-Nearest Neighbors,9,44,Nitrolancea,0.0
K-Nearest Neighbors,9,44,Verticiella,0.0
K-Nearest Neighbors,9,44,Finegoldia,0.0
K-Nearest Neighbors,9,44,Cellulosilyticum,0.0
K-Nearest Neighbors,9,44,Paracoccus,0.0
K-Nearest Neighbors,9,44,Atopobium,0.0
K-Nearest Neighbors,9,44,Ezakiella,0.0
K-Nearest Neighbors,9,44,Mycobacterium,0.0
K-Nearest Neighbors,9,44,Conservatibacter,0.0
K-Nearest Neighbors,9,44,Brevibacterium,0.0
K-Nearest Neighbors,9,44,Aggregatibacter,0.0
K-Nearest Neighbors,9,44,Gordonia,0.0
K-Nearest Neighbors,9,44,Rhodococcus,0.0
K-Nearest Neighbors,9,44,Fusobacterium,1.1102230246251566e-17
K-Nearest Neighbors,9,44,Anaerococcus,0.0
K-Nearest Neighbors,9,44,Marmoricola,0.0
K-Nearest Neighbors,9,44,Basfia,0.0
K-Nearest Neighbors,9,44,Peptoniphilus,0.0
K-Nearest Neighbors,9,44,Cellulomonas,0.0
K-Nearest Neighbors,9,44,Scardovia,0.0
K-Nearest Neighbors,9,44,Stenotrophobacter,0.0
K-Nearest Neighbors,9,44,Prevotella,-0.049999999999999975
K-Nearest Neighbors,9,44,Leptotrichia,0.0
K-Nearest Neighbors,9,44,Bergeriella,0.0
K-Nearest Neighbors,9,44,Aureimonas,0.0
K-Nearest Neighbors,9,44,Marseilla,0.0
K-Nearest Neighbors,9,44,Fimbriiglobus,0.0
K-Nearest Neighbors,9,44,Roseomonas,0.0
K-Nearest Neighbors,9,44,Aliarcobacter,0.0
K-Nearest Neighbors,9,44,Craurococcus,0.0
K-Nearest Neighbors,9,44,Capnocytophaga,0.0
K-Nearest Neighbors,9,44,Anaerosinus,0.0
K-Nearest Neighbors,9,44,Parvimonas,0.0
K-Nearest Neighbors,9,44,Howardella,0.0
K-Nearest Neighbors,9,44,Fudania,0.0
K-Nearest Neighbors,9,44,Peptoanaerobacter,0.0
K-Nearest Neighbors,9,44,Rhizobium,0.0
K-Nearest Neighbors,9,44,Mannheimia,0.0
K-Nearest Neighbors,9,44,Cryptobacterium,0.0
K-Nearest Neighbors,9,44,Dolosigranulum,0.0
K-Nearest Neighbors,9,44,Pseudescherichia,0.0
SVM (RBF),1,115,mediumBAL,0.0
SVM (RBF),1,115,mediumNPS,0.0
SVM (RBF),1,115,mediumSputum,0.0
SVM (RBF),1,115,mediumTS,0.0
SVM (RBF),1,115,adult_pediatric,0.0
SVM (RBF),1,115,continent,0.0
SVM (RBF),1,115,sex,-0.013913043478260856
SVM (RBF),1,115,Veillonella,0.001739130434782643
SVM (RBF),1,115,Alloprevotella,0.0
SVM (RBF),1,115,Dietzia,0.0
SVM (RBF),1,115,Varibaculum,0.0
SVM (RBF),1,115,Fannyhessea,0.0
SVM (RBF),1,115,Selenomonas,0.0
SVM (RBF),1,115,Granulicatella,0.0
SVM (RBF),1,115,Lawsonella,0.0
SVM (RBF),1,115,Olsenella,0.0
SVM (RBF),1,115,Stomatobaculum,0.0
SVM (RBF),1,115,Janibacter,0.0
SVM (RBF),1,115,Haemophilus,0.0
SVM (RBF),1,115,Actinobacillus,0.0
SVM (RBF),1,115,Acinetobacter,0.0
SVM (RBF),1,115,Mogibacterium,0.0
SVM (RBF),1,115,Abiotrophia,0.0
SVM (RBF),1,115,Murdochiella,0.0
SVM (RBF),1,115,Bifidobacterium,0.0
SVM (RBF),1,115,Neisseria,-0.010434782608695615
SVM (RBF),1,115,Klebsiella,0.0
SVM (RBF),1,115,Helicobacter,0.0
SVM (RBF),1,115,Cutibacterium,0.0
SVM (RBF),1,115,Solobacterium,0.0
SVM (RBF),1,115,Gemella,0.0
SVM (RBF),1,115,Peptostreptococcus,0.0
SVM (RBF),1,115,Amniculibacterium,0.0
SVM (RBF),1,115,Lautropia,0.0
SVM (RBF),1,115,Schaalia,0.0
SVM (RBF),1,115,Aminipila,0.0
SVM (RBF),1,115,Clostridium_sensu_stricto,0.0
SVM (RBF),1,115,Prevotellamassilia,0.0
SVM (RBF),1,115,Deinococcus,0.0
SVM (RBF),1,115,Filifactor,0.0
SVM (RBF),1,115,Johnsonella,0.0
SVM (RBF),1,115,Moraxella,0.0
SVM (RBF),1,115,Fretibacterium,0.0
SVM (RBF),1,115,Brachybacterium,0.0
SVM (RBF),1,115,Pseudomonas,-0.012173913043478235
SVM (RBF),1,115,Rothia,-0.0017391304347825765
SVM (RBF),1,115,Blautia,0.0
SVM (RBF),1,115,Eubacterium,0.0
SVM (RBF),1,115,Sphingobium,0.0
SVM (RBF),1,115,Corynebacterium,0.0
SVM (RBF),1,115,Kingella,0.0
SVM (RBF),1,115,Micrococcus,0.0
SVM (RBF),1,115,Enterocloster,0.0
SVM (RBF),1,115,Megasphaera,0.0
SVM (RBF),1,115,Methylobacterium,0.0
SVM (RBF),1,115,Bradyrhizobium,0.0
SVM (RBF),1,115,Sphingomonas,0.0
SVM (RBF),1,115,Brevundimonas,0.0
SVM (RBF),1,115,Microbacterium,0.0
SVM (RBF),1,115,Catonella,0.0
SVM (RBF),1,115,Thermus,0.0
SVM (RBF),1,115,Alloscardovia,0.0
SVM (RBF),1,115,Agathobacter,0.0
SVM (RBF),1,115,Streptococcus,0.006956521739130461
SVM (RBF),1,115,Faecalibacterium,0.0
SVM (RBF),1,115,Curtobacterium,0.0
SVM (RBF),1,115,Coprococcus,0.0
SVM (RBF),1,115,Allisonella,0.0
SVM (RBF),1,115,Actinomyces,0.0
SVM (RBF),1,115,Eikenella,0.0
SVM (RBF),1,115,Arachnia,0.0
SVM (RBF),1,115,Lachnoanaerobaculum,0.0
SVM (RBF),1,115,Mesorhizobium,0.0
SVM (RBF),1,115,Tannerella,0.0
SVM (RBF),1,115,Herbiconiux,0.0
SVM (RBF),1,115,Lancefieldella,0.0
SVM (RBF),1,115,Butyrivibrio,0.0
SVM (RBF),1,115,Streptobacillus,0.0
SVM (RBF),1,115,Oribacterium,0.0
SVM (RBF),1,115,Luteovulum,0.0
SVM (RBF),1,115,Staphylococcus,0.0
SVM (RBF),1,115,Gardnerella,0.0
SVM (RBF),1,115,Wolinella,0.0
SVM (RBF),1,115,Centipeda,0.0
SVM (RBF),1,115,Cardiobacterium,0.0
SVM (RBF),1,115,Fenollaria,0.0
SVM (RBF),1,115,Porphyromonas,0.0
SVM (RBF),1,115,Metamycoplasma,0.0
SVM (RBF),1,115,Stenotrophomonas,2.2204460492503132e-17
SVM (RBF),1,115,Slackia,0.0
SVM (RBF),1,115,Pseudonocardia,0.0
SVM (RBF),1,115,Massiliprevotella,0.0
SVM (RBF),1,115,Campylobacter,0.0
SVM (RBF),1,115,Azorhizophilus,0.0
SVM (RBF),1,115,Peptococcus,0.0
SVM (RBF),1,115,Kocuria,0.0
SVM (RBF),1,115,Shuttleworthia,0.0
SVM (RBF),1,115,Agrobacterium,0.0
SVM (RBF),1,115,Nitrolancea,0.0
SVM (RBF),1,115,Verticiella,0.0
SVM (RBF),1,115,Finegoldia,0.0
SVM (RBF),1,115,Cellulosilyticum,0.0
SVM (RBF),1,115,Paracoccus,0.0
SVM (RBF),1,115,Atopobium,0.0
SVM (RBF),1,115,Ezakiella,0.0
SVM (RBF),1,115,Mycobacterium,0.0
SVM (RBF),1,115,Conservatibacter,0.0
SVM (RBF),1,115,Brevibacterium,0.0
SVM (RBF),1,115,Aggregatibacter,0.0
SVM (RBF),1,115,Gordonia,0.0
SVM (RBF),1,115,Rhodococcus,0.0
SVM (RBF),1,115,Fusobacterium,0.0
SVM (RBF),1,115,Anaerococcus,0.0
SVM (RBF),1,115,Marmoricola,0.0
SVM (RBF),1,115,Basfia,0.0
SVM (RBF),1,115,Peptoniphilus,0.0
SVM (RBF),1,115,Cellulomonas,0.0
SVM (RBF),1,115,Scardovia,0.0
SVM (RBF),1,115,Stenotrophobacter,0.0
SVM (RBF),1,115,Prevotella,0.01043478260869568
SVM (RBF),1,115,Leptotrichia,0.0
SVM (RBF),1,115,Bergeriella,0.0
SVM (RBF),1,115,Aureimonas,0.0
SVM (RBF),1,115,Marseilla,0.0
SVM (RBF),1,115,Fimbriiglobus,0.0
SVM (RBF),1,115,Roseomonas,0.0
SVM (RBF),1,115,Aliarcobacter,0.0
SVM (RBF),1,115,Craurococcus,0.0
SVM (RBF),1,115,Capnocytophaga,0.0
SVM (RBF),1,115,Anaerosinus,0.0
SVM (RBF),1,115,Parvimonas,0.0
SVM (RBF),1,115,Howardella,0.0
SVM (RBF),1,115,Fudania,0.0
SVM (RBF),1,115,Peptoanaerobacter,0.0
SVM (RBF),1,115,Rhizobium,0.0
SVM (RBF),1,115,Mannheimia,0.0
SVM (RBF),1,115,Cryptobacterium,0.0
SVM (RBF),1,115,Dolosigranulum,0.0
SVM (RBF),1,115,Pseudescherichia,0.0
SVM (RBF),2,260,mediumBAL,0.0
SVM (RBF),2,260,mediumNPS,0.0
SVM (RBF),2,260,mediumSputum,0.0
SVM (RBF),2,260,mediumTS,0.0
SVM (RBF),2,260,adult_pediatric,0.0
SVM (RBF),2,260,continent,0.0
SVM (RBF),2,260,sex,0.0
SVM (RBF),2,260,Veillonella,0.0
SVM (RBF),2,260,Alloprevotella,0.0
SVM (RBF),2,260,Dietzia,0.0
SVM (RBF),2,260,Varibaculum,0.0
SVM (RBF),2,260,Fannyhessea,0.0
SVM (RBF),2,260,Selenomonas,0.0
SVM (RBF),2,260,Granulicatella,0.0
SVM (RBF),2,260,Lawsonella,0.0
SVM (RBF),2,260,Olsenella,0.0
SVM (RBF),2,260,Stomatobaculum,0.0
SVM (RBF),2,260,Janibacter,0.0
SVM (RBF),2,260,Haemophilus,0.0
SVM (RBF),2,260,Actinobacillus,0.0
SVM (RBF),2,260,Acinetobacter,0.0
SVM (RBF),2,260,Mogibacterium,0.0
SVM (RBF),2,260,Abiotrophia,0.0
SVM (RBF),2,260,Murdochiella,0.0
SVM (RBF),2,260,Bifidobacterium,0.0
SVM (RBF),2,260,Neisseria,0.0
SVM (RBF),2,260,Klebsiella,0.0
SVM (RBF),2,260,Helicobacter,0.0
SVM (RBF),2,260,Cutibacterium,0.0
SVM (RBF),2,260,Solobacterium,0.0
SVM (RBF),2,260,Gemella,0.0
SVM (RBF),2,260,Peptostreptococcus,0.0
SVM (RBF),2,260,Amniculibacterium,0.0
SVM (RBF),2,260,Lautropia,0.0
SVM (RBF),2,260,Schaalia,0.0
SVM (RBF),2,260,Aminipila,0.0
SVM (RBF),2,260,Clostridium_sensu_stricto,0.0
SVM (RBF),2,260,Prevotellamassilia,0.0
SVM (RBF),2,260,Deinococcus,0.0
SVM (RBF),2,260,Filifactor,0.0
SVM (RBF),2,260,Johnsonella,0.0
SVM (RBF),2,260,Moraxella,0.0
SVM (RBF),2,260,Fretibacterium,0.0
SVM (RBF),2,260,Brachybacterium,0.0
SVM (RBF),2,260,Pseudomonas,0.0
SVM (RBF),2,260,Rothia,0.0
SVM (RBF),2,260,Blautia,0.0
SVM (RBF),2,260,Eubacterium,0.0
SVM (RBF),2,260,Sphingobium,0.0
SVM (RBF),2,260,Corynebacterium,0.0
SVM (RBF),2,260,Kingella,0.0
SVM (RBF),2,260,Micrococcus,0.0
SVM (RBF),2,260,Enterocloster,0.0
SVM (RBF),2,260,Megasphaera,0.0
SVM (RBF),2,260,Methylobacterium,0.0
SVM (RBF),2,260,Bradyrhizobium,0.0
SVM (RBF),2,260,Sphingomonas,0.0
SVM (RBF),2,260,Brevundimonas,0.0
SVM (RBF),2,260,Microbacterium,0.0
SVM (RBF),2,260,Catonella,0.0
SVM (RBF),2,260,Thermus,0.0
SVM (RBF),2,260,Alloscardovia,0.0
SVM (RBF),2,260,Agathobacter,0.0
SVM (RBF),2,260,Streptococcus,0.0
SVM (RBF),2,260,Faecalibacterium,0.0
SVM (RBF),2,260,Curtobacterium,0.0
SVM (RBF),2,260,Coprococcus,0.0
SVM (RBF),2,260,Allisonella,0.0
SVM (RBF),2,260,Actinomyces,0.0
SVM (RBF),2,260,Eikenella,0.0
SVM (RBF),2,260,Arachnia,0.0
SVM (RBF),2,260,Lachnoanaerobaculum,0.0
SVM (RBF),2,260,Mesorhizobium,0.0
SVM (RBF),2,260,Tannerella,0.0
SVM (RBF),2,260,Herbiconiux,0.0
SVM (RBF),2,260,Lancefieldella,0.0
SVM (RBF),2,260,Butyrivibrio,0.0
SVM (RBF),2,260,Streptobacillus,0.0
SVM (RBF),2,260,Oribacterium,0.0
SVM (RBF),2,260,Luteovulum,0.0
SVM (RBF),2,260,Staphylococcus,0.0
SVM (RBF),2,260,Gardnerella,0.0
SVM (RBF),2,260,Wolinella,0.0
SVM (RBF),2,260,Centipeda,0.0
SVM (RBF),2,260,Cardiobacterium,0.0
SVM (RBF),2,260,Fenollaria,0.0
SVM (RBF),2,260,Porphyromonas,0.0
SVM (RBF),2,260,Metamycoplasma,0.0
SVM (RBF),2,260,Stenotrophomonas,0.0
SVM (RBF),2,260,Slackia,0.0
SVM (RBF),2,260,Pseudonocardia,0.0
SVM (RBF),2,260,Massiliprevotella,0.0
SVM (RBF),2,260,Campylobacter,0.0
SVM (RBF),2,260,Azorhizophilus,0.0
SVM (RBF),2,260,Peptococcus,0.0
SVM (RBF),2,260,Kocuria,0.0
SVM (RBF),2,260,Shuttleworthia,0.0
SVM (RBF),2,260,Agrobacterium,0.0
SVM (RBF),2,260,Nitrolancea,0.0
SVM (RBF),2,260,Verticiella,0.0
SVM (RBF),2,260,Finegoldia,0.0
SVM (RBF),2,260,Cellulosilyticum,0.0
SVM (RBF),2,260,Paracoccus,0.0
SVM (RBF),2,260,Atopobium,0.0
SVM (RBF),2,260,Ezakiella,0.0
SVM (RBF),2,260,Mycobacterium,0.0
SVM (RBF),2,260,Conservatibacter,0.0
SVM (RBF),2,260,Brevibacterium,0.0
SVM (RBF),2,260,Aggregatibacter,0.0
SVM (RBF),2,260,Gordonia,0.0
SVM (RBF),2,260,Rhodococcus,0.0
SVM (RBF),2,260,Fusobacterium,0.0
SVM (RBF),2,260,Anaerococcus,0.0
SVM (RBF),2,260,Marmoricola,0.0
SVM (RBF),2,260,Basfia,0.0
SVM (RBF),2,260,Peptoniphilus,0.0
SVM (RBF),2,260,Cellulomonas,0.0
SVM (RBF),2,260,Scardovia,0.0
SVM (RBF),2,260,Stenotrophobacter,0.0
SVM (RBF),2,260,Prevotella,0.0
SVM (RBF),2,260,Leptotrichia,0.0
SVM (RBF),2,260,Bergeriella,0.0
SVM (RBF),2,260,Aureimonas,0.0
SVM (RBF),2,260,Marseilla,0.0
SVM (RBF),2,260,Fimbriiglobus,0.0
SVM (RBF),2,260,Roseomonas,0.0
SVM (RBF),2,260,Aliarcobacter,0.0
SVM (RBF),2,260,Craurococcus,0.0
SVM (RBF),2,260,Capnocytophaga,0.0
SVM (RBF),2,260,Anaerosinus,0.0
SVM (RBF),2,260,Parvimonas,0.0
SVM (RBF),2,260,Howardella,0.0
SVM (RBF),2,260,Fudania,0.0
SVM (RBF),2,260,Peptoanaerobacter,0.0
SVM (RBF),2,260,Rhizobium,0.0
SVM (RBF),2,260,Mannheimia,0.0
SVM (RBF),2,260,Cryptobacterium,0.0
SVM (RBF),2,260,Dolosigranulum,0.0
SVM (RBF),2,260,Pseudescherichia,0.0
SVM (RBF),3,94,mediumBAL,0.0
SVM (RBF),3,94,mediumNPS,0.0
SVM (RBF),3,94,mediumSputum,0.0
SVM (RBF),3,94,mediumTS,0.0
SVM (RBF),3,94,adult_pediatric,0.0
SVM (RBF),3,94,continent,0.0
SVM (RBF),3,94,sex,0.0
SVM (RBF),3,94,Veillonella,0.0
SVM (RBF),3,94,Alloprevotella,0.0
SVM (RBF),3,94,Dietzia,0.0
SVM (RBF),3,94,Varibaculum,0.0
SVM (RBF),3,94,Fannyhessea,0.0
SVM (RBF),3,94,Selenomonas,0.0
SVM (RBF),3,94,Granulicatella,0.0
SVM (RBF),3,94,Lawsonella,0.0
SVM (RBF),3,94,Olsenella,0.0
SVM (RBF),3,94,Stomatobaculum,0.0
SVM (RBF),3,94,Janibacter,0.0
SVM (RBF),3,94,Haemophilus,0.0
SVM (RBF),3,94,Actinobacillus,0.0
SVM (RBF),3,94,Acinetobacter,0.0
SVM (RBF),3,94,Mogibacterium,0.0
SVM (RBF),3,94,Abiotrophia,0.0
SVM (RBF),3,94,Murdochiella,0.0
SVM (RBF),3,94,Bifidobacterium,0.0
SVM (RBF),3,94,Neisseria,0.0
SVM (RBF),3,94,Klebsiella,0.0
SVM (RBF),3,94,Helicobacter,0.0
SVM (RBF),3,94,Cutibacterium,0.0
SVM (RBF),3,94,Solobacterium,0.0
SVM (RBF),3,94,Gemella,0.0
SVM (RBF),3,94,Peptostreptococcus,0.0
SVM (RBF),3,94,Amniculibacterium,0.0
SVM (RBF),3,94,Lautropia,0.0
SVM (RBF),3,94,Schaalia,0.0
SVM (RBF),3,94,Aminipila,0.0
SVM (RBF),3,94,Clostridium_sensu_stricto,0.0
SVM (RBF),3,94,Prevotellamassilia,0.0
SVM (RBF),3,94,Deinococcus,0.0
SVM (RBF),3,94,Filifactor,0.0
SVM (RBF),3,94,Johnsonella,0.0
SVM (RBF),3,94,Moraxella,0.0
SVM (RBF),3,94,Fretibacterium,0.0
SVM (RBF),3,94,Brachybacterium,0.0
SVM (RBF),3,94,Pseudomonas,0.0
SVM (RBF),3,94,Rothia,0.0
SVM (RBF),3,94,Blautia,0.0
SVM (RBF),3,94,Eubacterium,0.0
SVM (RBF),3,94,Sphingobium,0.0
SVM (RBF),3,94,Corynebacterium,0.0
SVM (RBF),3,94,Kingella,0.0
SVM (RBF),3,94,Micrococcus,0.0
SVM (RBF),3,94,Enterocloster,0.0
SVM (RBF),3,94,Megasphaera,0.0
SVM (RBF),3,94,Methylobacterium,0.0
SVM (RBF),3,94,Bradyrhizobium,0.0
SVM (RBF),3,94,Sphingomonas,0.0
SVM (RBF),3,94,Brevundimonas,0.0
SVM (RBF),3,94,Microbacterium,0.0
SVM (RBF),3,94,Catonella,0.0
SVM (RBF),3,94,Thermus,0.0
SVM (RBF),3,94,Alloscardovia,0.0
SVM (RBF),3,94,Agathobacter,0.0
SVM (RBF),3,94,Streptococcus,0.0
SVM (RBF),3,94,Faecalibacterium,0.0
SVM (RBF),3,94,Curtobacterium,0.0
SVM (RBF),3,94,Coprococcus,0.0
SVM (RBF),3,94,Allisonella,0.0
SVM (RBF),3,94,Actinomyces,0.0
SVM (RBF),3,94,Eikenella,0.0
SVM (RBF),3,94,Arachnia,0.0
SVM (RBF),3,94,Lachnoanaerobaculum,0.0
SVM (RBF),3,94,Mesorhizobium,0.0
SVM (RBF),3,94,Tannerella,0.0
SVM (RBF),3,94,Herbiconiux,0.0
SVM (RBF),3,94,Lancefieldella,0.0
SVM (RBF),3,94,Butyrivibrio,0.0
SVM (RBF),3,94,Streptobacillus,0.0
SVM (RBF),3,94,Oribacterium,0.0
SVM (RBF),3,94,Luteovulum,0.0
SVM (RBF),3,94,Staphylococcus,0.0
SVM (RBF),3,94,Gardnerella,0.0
SVM (RBF),3,94,Wolinella,0.0
SVM (RBF),3,94,Centipeda,0.0
SVM (RBF),3,94,Cardiobacterium,0.0
SVM (RBF),3,94,Fenollaria,0.0
SVM (RBF),3,94,Porphyromonas,0.0
SVM (RBF),3,94,Metamycoplasma,0.0
SVM (RBF),3,94,Stenotrophomonas,0.0
SVM (RBF),3,94,Slackia,0.0
SVM (RBF),3,94,Pseudonocardia,0.0
SVM (RBF),3,94,Massiliprevotella,0.0
SVM (RBF),3,94,Campylobacter,0.0
SVM (RBF),3,94,Azorhizophilus,0.0
SVM (RBF),3,94,Peptococcus,0.0
SVM (RBF),3,94,Kocuria,0.0
SVM (RBF),3,94,Shuttleworthia,0.0
SVM (RBF),3,94,Agrobacterium,0.0
SVM (RBF),3,94,Nitrolancea,0.0
SVM (RBF),3,94,Verticiella,0.0
SVM (RBF),3,94,Finegoldia,0.0
SVM (RBF),3,94,Cellulosilyticum,0.0
SVM (RBF),3,94,Paracoccus,0.0
SVM (RBF),3,94,Atopobium,0.0
SVM (RBF),3,94,Ezakiella,0.0
SVM (RBF),3,94,Mycobacterium,0.0
SVM (RBF),3,94,Conservatibacter,0.0
SVM (RBF),3,94,Brevibacterium,0.0
SVM (RBF),3,94,Aggregatibacter,0.0
SVM (RBF),3,94,Gordonia,0.0
SVM (RBF),3,94,Rhodococcus,0.0
SVM (RBF),3,94,Fusobacterium,0.0
SVM (RBF),3,94,Anaerococcus,0.0
SVM (RBF),3,94,Marmoricola,0.0
SVM (RBF),3,94,Basfia,0.0
SVM (RBF),3,94,Peptoniphilus,0.0
SVM (RBF),3,94,Cellulomonas,0.0
SVM (RBF),3,94,Scardovia,0.0
SVM (RBF),3,94,Stenotrophobacter,0.0
SVM (RBF),3,94,Prevotella,0.0
SVM (RBF),3,94,Leptotrichia,0.0
SVM (RBF),3,94,Bergeriella,0.0
